id,name,category,image
1,Red Shirt,Clothing,https://via.placeholder.com/150/FF0000
2,Blue Jeans,Clothing,https://via.placeholder.com/150/0000FF
3,Green Mug,Home,https://via.placeholder.com/150/00FF00
4,Yellow Lamp,Home,https://via.placeholder.com/150/FFFF00
5,Purple Shoes,Fashion,https://via.placeholder.com/150/800080
6,Black Jacket,Clothing,https://via.placeholder.com/150/000000
7,White Sneakers,Fashion,https://via.placeholder.com/150/FFFFFF
8,Gray Trousers,Clothing,https://via.placeholder.com/150/808080
9,Orange Hat,Fashion,https://via.placeholder.com/150/FFA500
10,Brown Wallet,Accessories,https://via.placeholder.com/150/8B4513
11,Blue Cap,Fashion,https://via.placeholder.com/150/1E90FF
12,Green T-Shirt,Clothing,https://via.placeholder.com/150/32CD32
13,Yellow Sofa,Home,https://via.placeholder.com/150/FFD700
14,Red Dress,Fashion,https://via.placeholder.com/150/DC143C
15,White Cup,Home,https://via.placeholder.com/150/F8F8FF
16,Black Watch,Accessories,https://via.placeholder.com/150/2F4F4F
17,Pink Handbag,Fashion,https://via.placeholder.com/150/FF69B4
18,Silver Necklace,Accessories,https://via.placeholder.com/150/C0C0C0
19,Blue Vase,Home,https://via.placeholder.com/150/87CEEB
20,Green Blanket,Home,https://via.placeholder.com/150/228B22
21,Maroon Hoodie,Clothing,https://via.placeholder.com/150/800000
22,Light Blue Shirt,Clothing,https://via.placeholder.com/150/ADD8E6
23,Brown Boots,Fashion,https://via.placeholder.com/150/A0522D
24,White Pillow,Home,https://via.placeholder.com/150/FFF5EE
25,Black Sunglasses,Accessories,https://via.placeholder.com/150/111111
26,Red Bag,Fashion,https://via.placeholder.com/150/FF2400
27,Blue Scarf,Accessories,https://via.placeholder.com/150/6495ED
28,Green Bottle,Home,https://via.placeholder.com/150/2E8B57
29,Yellow Towel,Home,https://via.placeholder.com/150/FFFF99
30,Purple Dress,Fashion,https://via.placeholder.com/150/BA55D3
31,Gray Hoodie,Clothing,https://via.placeholder.com/150/696969
32,Blue Jacket,Clothing,https://via.placeholder.com/150/1E3F66
33,Beige Curtains,Home,https://via.placeholder.com/150/F5F5DC
34,Red Cushion,Home,https://via.placeholder.com/150/B22222
35,Black Belt,Accessories,https://via.placeholder.com/150/0B0B0B
36,Pink Shoes,Fashion,https://via.placeholder.com/150/FFC0CB
37,Gold Earrings,Accessories,https://via.placeholder.com/150/FFD700
38,Blue Shorts,Clothing,https://via.placeholder.com/150/4682B4
39,Green Chair,Home,https://via.placeholder.com/150/3CB371
40,Yellow Pot,Home,https://via.placeholder.com/150/F0E68C
41,White Dress,Fashion,https://via.placeholder.com/150/FDF5E6
42,Brown Bag,Accessories,https://via.placeholder.com/150/654321
43,Black Shoes,Fashion,https://via.placeholder.com/150/222222
44,Orange Cushion,Home,https://via.placeholder.com/150/FFA07A
45,Red Mug,Home,https://via.placeholder.com/150/FF4500
46,Gray Blazer,Clothing,https://via.placeholder.com/150/BEBEBE
47,Blue Watch,Accessories,https://via.placeholder.com/150/00008B
48,Purple T-Shirt,Clothing,https://via.placeholder.com/150/8A2BE2
49,Green Scarf,Accessories,https://via.placeholder.com/150/006400
50,Yellow Hat,Fashion,https://via.placeholder.com/150/FFD700
